sample_id,model_1,model_2,model_3,mean,std
sample_56,8.2173,8.5612,8.0551,8.2778,0.2584
sample_57,8.2421,8.9087,8.4229,8.5246,0.3447
sample_58,9.1028,9.5234,9.1317,9.2526,0.235
sample_59,7.9397,8.5612,7.9936,8.1648,0.3444
sample_60,8.1148,8.4484,8.0289,8.1974,0.2216
sample_61,8.6199,8.943,8.6405,8.7345,0.1809
sample_62,8.6014,9.2613,8.8812,8.9147,0.3312
sample_63,9.1767,9.6843,9.373,9.4114,0.256
sample_64,8.1125,8.5745,8.103,8.2633,0.2695
sample_65,8.5216,8.7289,8.308,8.5195,0.2105
sample_66,8.9645,9.4647,9.1741,9.2011,0.2512
sample_67,8.7205,8.9633,8.7401,8.808,0.1348
sample_68,9.2877,9.8023,9.3746,9.4882,0.2754
sample_69,8.6385,8.8025,8.4508,8.6306,0.176
sample_70,8.1586,8.6754,8.1336,8.3225,0.3058
sample_71,9.4658,9.95,9.5173,9.6444,0.2659
sample_72,8.2703,8.5979,8.4155,8.4279,0.1642
sample_73,7.4065,8.0248,7.5479,7.6597,0.324
sample_74,8.5063,9.0324,8.7336,8.7574,0.2639
sample_75,7.6151,7.7952,7.4614,7.6239,0.1671
sample_76,9.2948,9.7669,9.3242,9.462,0.2645
sample_77,8.1087,8.8141,8.1089,8.3439,0.4072
sample_78,8.5361,8.5619,8.3148,8.471,0.1359
sample_79,9.1646,9.5609,9.1966,9.3074,0.2202
sample_80,9.0919,9.604,9.2469,9.3142,0.2626
sample_81,8.1001,8.6327,8.0549,8.2625,0.3214
sample_82,9.0423,9.5331,9.2001,9.2585,0.2506
sample_83,8.8524,9.3928,8.9415,9.0622,0.2897
sample_84,8.0128,8.4247,8.0171,8.1516,0.2366
sample_85,9.2985,9.7292,9.2595,9.4291,0.2607
sample_86,7.8782,8.4065,7.807,8.0306,0.3275
sample_87,9.0134,9.5133,9.1657,9.2308,0.2562
sample_88,7.9744,8.3172,7.9783,8.09,0.1968
sample_89,7.8336,8.2598,7.783,7.9588,0.2619
sample_90,9.2333,9.6914,9.2741,9.3996,0.2535
sample_91,9.1306,9.6292,9.2092,9.323,0.2681
sample_92,8.7206,9.238,8.958,8.9722,0.259
sample_93,7.0245,7.7083,6.9469,7.2266,0.419
sample_94,9.3482,9.817,9.2887,9.4846,0.2894
sample_95,8.3616,8.5054,8.1224,8.3298,0.1934
sample_96,7.6171,8.0469,7.556,7.74,0.2675
sample_97,7.5249,7.7301,7.5428,7.5992,0.1137
sample_98,9.1203,9.6325,9.2634,9.3388,0.2643
sample_99,7.8554,8.1205,7.6374,7.8711,0.2419
sample_100,7.3403,8.0232,7.2777,7.5471,0.4135
sample_101,9.6217,9.96,9.455,9.6789,0.2573
sample_102,9.3252,9.7687,9.3909,9.4949,0.2393
sample_103,9.4316,9.726,9.37,9.5092,0.1902
sample_104,8.6291,8.9107,8.4719,8.6706,0.2224
sample_105,7.932,8.239,7.7256,7.9655,0.2584
sample_106,7.4081,8.1943,7.5239,7.7088,0.4244
sample_107,9.2654,9.8169,9.4692,9.5172,0.2788
sample_108,7.8403,8.4034,7.9406,8.0614,0.3004
sample_109,9.2917,9.8187,9.3734,9.4946,0.2837
sample_110,9.5498,10.138,9.5402,9.7427,0.3424
sample_111,8.6801,8.8705,8.4629,8.6711,0.204
sample_112,8.984,9.3018,8.9727,9.0862,0.1868
sample_113,8.7785,9.3428,8.935,9.0188,0.2914
sample_114,8.4992,8.6851,8.3695,8.5179,0.1586
sample_115,8.1537,8.7545,8.1422,8.3501,0.3502
sample_116,9.4941,9.9428,9.5251,9.654,0.2506
sample_117,7.6785,8.0667,7.6656,7.8036,0.2279
sample_118,8.6952,9.0785,8.5319,8.7685,0.2806
sample_119,9.1266,9.7718,9.133,9.3438,0.3707
sample_120,8.9483,9.4913,9.0219,9.1538,0.2946
sample_121,8.8457,9.4843,9.0184,9.1161,0.3303
sample_122,8.3037,8.4218,8.2014,8.309,0.1103
sample_123,7.819,8.0548,7.7572,7.877,0.1571
sample_124,8.7795,9.1046,8.8027,8.8956,0.1814
sample_125,8.8646,9.5879,9.0177,9.1568,0.3812
sample_126,7.7304,8.1794,7.6513,7.8537,0.2848
sample_127,7.6812,8.1762,7.6262,7.8279,0.3029
sample_128,8.5598,8.8052,8.489,8.618,0.1659
sample_129,7.9241,8.283,7.9387,8.0486,0.2031
sample_130,8.8871,9.2965,8.8929,9.0255,0.2347
sample_131,8.3882,8.607,8.2221,8.4058,0.1931
sample_132,8.8813,9.366,8.9443,9.0638,0.2635
sample_133,7.5931,8.2232,7.6289,7.8151,0.3539
sample_134,8.6604,9.0633,8.6271,8.7836,0.2428
sample_135,8.6131,9.2344,8.6411,8.8296,0.3509
sample_136,8.201,8.2837,7.8174,8.1007,0.2488
sample_137,7.9377,8.364,7.8719,8.0578,0.2672
sample_138,9.0074,9.6359,9.2999,9.3144,0.3145
sample_139,8.4707,9.1216,8.6537,8.7487,0.3357
sample_140,9.1229,9.7535,9.3546,9.4103,0.319
sample_141,8.3198,9.1519,8.6387,8.7035,0.4198
sample_142,7.9114,8.5242,8.0716,8.1691,0.3178
sample_143,9.2105,9.6209,9.171,9.3342,0.2491
sample_144,8.2485,8.6287,8.2746,8.3839,0.2123
sample_145,8.0936,8.6587,8.1727,8.3083,0.306
sample_146,8.3009,8.6512,8.2401,8.3974,0.2219
sample_147,7.6677,8.3118,7.7703,7.9166,0.3461
sample_148,9.0953,9.5704,9.2699,9.3118,0.2403
sample_149,9.0111,9.4867,9.1019,9.1999,0.2525
sample_150,8.0681,8.6608,8.0813,8.27,0.3385
sample_151,9.1634,9.7464,9.3466,9.4188,0.2981
sample_152,8.002,8.5284,8.3109,8.2804,0.2645
sample_153,8.2565,8.3859,8.1017,8.248,0.1423
sample_154,7.9045,8.3858,7.9073,8.0659,0.2771
sample_155,8.2453,8.8401,8.4076,8.4977,0.3075
sample_156,8.3896,8.5848,8.322,8.4321,0.1365
sample_157,8.6019,8.9544,8.6291,8.7285,0.1962
sample_158,8.6484,9.1677,8.6674,8.8278,0.2945
sample_159,7.5483,8.0566,7.567,7.724,0.2883
sample_160,8.8152,9.1867,8.7823,8.9281,0.2246
sample_161,8.9831,9.4042,9.1508,9.1794,0.212
sample_162,8.525,9.2049,8.7642,8.8314,0.3449
sample_163,9.271,9.7384,9.4289,9.4795,0.2378
sample_164,9.2611,9.7688,9.3375,9.4558,0.2737
sample_165,9.1495,9.3184,8.9345,9.1341,0.1924
sample_166,8.648,8.8772,8.5968,8.7073,0.1493
sample_167,9.1714,9.6226,9.1919,9.3286,0.2548
sample_168,9.2304,9.8326,9.3564,9.4731,0.3176
sample_169,7.8303,8.2924,7.7313,7.9513,0.2995
sample_170,9.2301,9.7375,9.3259,9.4312,0.2696
sample_171,9.3839,9.9648,9.3421,9.5636,0.3481
sample_172,7.7006,8.1301,7.7447,7.8584,0.2363
sample_173,8.679,8.9489,8.7258,8.7846,0.1443
sample_174,9.2733,9.8416,9.4742,9.5297,0.2882
sample_175,8.608,8.7415,8.2607,8.5367,0.2482
sample_176,8.4652,8.9086,8.5556,8.6431,0.2343
sample_177,9.2293,9.5955,9.2741,9.3663,0.1998
sample_178,9.5735,10.0415,9.5564,9.7238,0.2753
sample_179,8.7784,9.3691,9.0466,9.0647,0.2958
sample_180,9.4683,9.954,9.5481,9.6568,0.2605
sample_181,8.9377,9.6508,9.021,9.2031,0.3899
sample_182,7.7715,8.23,7.7408,7.9141,0.274
sample_183,7.9723,8.4321,7.9242,8.1095,0.2804
sample_184,8.7897,8.8549,8.564,8.7362,0.1527
sample_185,8.0694,8.7287,8.1464,8.3148,0.3605
sample_186,9.105,9.6341,9.1431,9.2941,0.2951
sample_187,9.2941,9.8456,9.4932,9.5443,0.2793
sample_188,8.5873,8.9714,8.5276,8.6954,0.2408
sample_189,7.5081,8.106,7.5514,7.7218,0.3334
sample_190,9.0984,9.5868,9.1772,9.2875,0.2622
sample_191,9.2813,9.7728,9.2697,9.4412,0.2872
sample_192,8.3983,8.4591,8.1523,8.3365,0.1624
sample_193,9.2862,9.6585,9.2241,9.3896,0.2349
sample_194,7.8009,8.5716,8.1063,8.1596,0.3881
sample_195,7.5172,8.3274,7.5105,7.785,0.4697
sample_196,9.1308,9.6709,9.1689,9.3235,0.3015
sample_197,9.7615,10.0702,9.6907,9.8408,0.2018
sample_198,8.0446,8.4708,7.8243,8.1132,0.3286
sample_199,8.9003,9.6199,9.0871,9.2024,0.3734
sample_200,9.3226,9.7476,9.2963,9.4555,0.2533
sample_201,8.1029,8.5156,8.2967,8.305,0.2065
sample_202,7.6808,8.4343,7.8975,8.0042,0.3879
sample_203,8.4848,8.9014,8.4104,8.5989,0.2646
sample_204,9.1244,9.7456,9.3369,9.4023,0.3157
sample_205,8.9017,9.1985,8.9532,9.0178,0.1586
sample_206,8.1267,8.5918,7.9998,8.2394,0.3116
sample_207,7.931,8.4548,8.0817,8.1558,0.2697
sample_208,8.4021,8.6565,8.2381,8.4322,0.2108
sample_209,8.0997,8.4684,8.0512,8.2064,0.2282
sample_210,7.5884,7.9336,7.5187,7.6802,0.2221
sample_211,8.7224,9.136,8.7634,8.8739,0.2279
sample_212,9.5107,9.9837,9.4586,9.651,0.2893
sample_213,7.4171,8.1607,7.5552,7.711,0.3955
sample_214,8.1688,8.5571,8.1303,8.2854,0.2361
sample_215,7.5029,8.1873,7.6389,7.7764,0.3623
sample_216,9.2534,9.8423,9.3006,9.4654,0.3273
sample_217,8.7494,8.8614,8.4622,8.691,0.2059
sample_218,9.0099,9.4497,9.0195,9.1597,0.2512
sample_219,7.3436,7.8366,7.4751,7.5517,0.2553
sample_220,8.2238,8.6895,8.2027,8.372,0.2752
sample_221,8.1609,8.5914,8.0789,8.2771,0.2753
sample_222,7.6914,8.4655,7.5141,7.8903,0.506
sample_223,8.9224,9.611,8.951,9.1615,0.3896
sample_224,9.4992,9.9676,9.6001,9.689,0.2465
sample_225,8.8392,9.1956,8.7956,8.9435,0.2195
sample_226,8.6624,9.2062,8.7749,8.8812,0.2871
sample_227,8.0641,8.1656,7.9983,8.076,0.0843
sample_228,8.6279,8.6495,8.3621,8.5465,0.1601
sample_229,8.3477,8.7359,8.2199,8.4345,0.2687
sample_230,9.1945,9.8166,9.3393,9.4501,0.3256
sample_231,7.4876,8.1487,7.4757,7.704,0.3851
sample_232,8.0578,8.5934,8.1095,8.2536,0.2954
sample_233,8.063,8.506,7.9856,8.1849,0.2808
sample_234,8.1332,8.5618,8.0153,8.2368,0.2876
sample_235,8.5263,8.8459,8.6525,8.6749,0.161
sample_236,7.9476,8.4887,7.8672,8.1012,0.338
sample_237,8.0527,8.466,7.9295,8.1494,0.281
sample_238,7.9533,8.4884,7.9787,8.1401,0.3019
sample_239,8.6565,9.0966,8.6857,8.8129,0.2461
sample_240,8.5732,8.7401,8.5149,8.6094,0.1169
sample_241,8.9242,9.497,9.136,9.1857,0.2896
sample_242,8.094,8.724,8.0965,8.3048,0.363
sample_243,9.0426,9.5669,9.2558,9.2884,0.2637
sample_244,8.4363,8.5941,8.2246,8.4183,0.1854
sample_245,7.2332,8.0049,7.3459,7.528,0.4168
sample_246,8.4624,8.5074,8.2408,8.4035,0.1427
sample_247,8.3327,8.7342,8.3194,8.4621,0.2358
sample_248,8.4128,8.8699,8.58,8.6209,0.2313
sample_249,8.0343,8.4017,7.9572,8.1311,0.2375
sample_250,8.8218,9.0839,8.7551,8.8869,0.1738
sample_251,8.5539,9.2145,8.8167,8.8617,0.3326
sample_252,8.9839,9.4883,9.21,9.2274,0.2526
sample_253,7.8867,8.2514,7.788,7.9754,0.2441
sample_254,9.0681,9.6883,9.2639,9.3401,0.317
sample_255,8.6918,9.2942,8.8556,8.9472,0.3115
sample_256,8.3929,8.8753,8.4505,8.5729,0.2635
sample_257,7.5045,8.1254,7.587,7.739,0.3372
sample_258,8.4738,8.698,8.3492,8.507,0.1767
sample_259,8.172,8.6201,8.2768,8.3563,0.2344
sample_260,7.197,7.9586,7.3648,7.5068,0.4002
sample_261,8.2982,8.3579,8.0423,8.2328,0.1676
sample_262,8.7654,9.5299,8.9279,9.0744,0.4027
sample_263,7.7549,8.32,7.7939,7.9563,0.3156
sample_264,8.8116,9.5343,8.9357,9.0939,0.3865
sample_265,7.7091,8.2571,7.7834,7.9165,0.2973
sample_266,7.5765,8.099,7.6044,7.76,0.294
sample_267,8.3391,8.7489,8.3349,8.4743,0.2378
sample_268,8.0892,8.5426,8.1129,8.2483,0.2552
sample_269,8.3284,8.7045,8.2914,8.4415,0.2286
sample_270,7.9806,8.0881,7.8018,7.9568,0.1447
sample_271,8.8552,9.5007,9.0248,9.1269,0.3347
sample_272,7.784,8.6087,7.8946,8.0958,0.4477
sample_273,8.554,8.9703,8.7218,8.7487,0.2094
sample_274,9.3429,9.7823,9.4257,9.517,0.2335
sample_275,8.9736,9.0384,8.7498,8.9206,0.1515
sample_276,8.9984,9.711,9.0862,9.2652,0.3885
sample_277,9.0745,9.7037,9.1354,9.3045,0.3471
sample_278,9.191,9.3924,8.9138,9.1657,0.2403
sample_279,7.9304,8.4887,7.9932,8.1374,0.3058
sample_280,9.5351,9.9271,9.441,9.6344,0.2578
sample_281,7.4237,7.7623,7.3564,7.5141,0.2175
sample_282,8.618,9.044,8.7219,8.7946,0.2221
sample_283,8.0868,8.4368,7.9893,8.171,0.2353
sample_284,8.8975,9.5313,9.1337,9.1875,0.3203
sample_285,8.0168,8.5783,7.9682,8.1878,0.3391
sample_286,7.6089,8.1577,7.7467,7.8378,0.2855
sample_287,9.156,9.7189,9.204,9.3596,0.312
sample_288,8.9154,9.5128,9.0788,9.169,0.3087
sample_289,7.6161,8.124,7.8095,7.8499,0.2563
sample_290,8.3433,8.8895,8.5781,8.6036,0.274
sample_291,7.753,8.3738,7.8583,7.995,0.3323
sample_292,8.9351,9.5474,9.0314,9.1713,0.3293
sample_293,9.1411,9.6074,9.2356,9.328,0.2465
sample_294,9.1353,9.6116,9.1959,9.3143,0.2593
sample_295,8.4933,8.5142,8.2879,8.4318,0.125
sample_296,8.8333,9.0402,8.8647,8.9127,0.1115
sample_297,7.3516,8.0673,7.4719,7.6303,0.3832
sample_298,9.1819,9.6373,9.1822,9.3338,0.2628
sample_299,8.3223,8.7759,8.2972,8.4651,0.2694
sample_300,7.8268,8.5293,7.8673,8.0745,0.3944
sample_301,8.9559,9.2381,8.9739,9.056,0.158
sample_302,8.4011,8.7301,8.3131,8.4814,0.2198
sample_303,8.281,8.6224,8.2978,8.4004,0.1924
sample_304,9.1826,9.7043,9.3069,9.3979,0.2725
sample_305,8.5925,8.9202,8.5195,8.6774,0.2134
sample_306,8.4192,8.7153,8.292,8.4755,0.2172
sample_307,8.2948,8.6912,8.365,8.4503,0.2115
sample_308,8.6372,8.992,8.6294,8.7529,0.2071
sample_309,9.2273,9.6552,9.2187,9.3671,0.2496
sample_310,8.7545,8.839,8.5074,8.7003,0.1723
sample_311,8.3043,8.8317,8.2853,8.4738,0.3101
sample_312,9.1392,9.7968,9.3823,9.4395,0.3325
sample_313,7.8997,8.402,7.8827,8.0614,0.295
sample_314,8.3779,9.0265,8.6515,8.6853,0.3256
sample_315,7.8433,8.4051,7.8188,8.0224,0.3316
sample_316,9.1578,9.6783,9.1976,9.3445,0.2897
sample_317,7.6287,8.3341,7.6125,7.8584,0.412
sample_318,8.3053,8.7312,8.2719,8.4361,0.2561
sample_319,9.4889,9.9175,9.3845,9.597,0.2824
sample_320,8.8429,9.0749,8.6652,8.861,0.2054
sample_321,7.2282,8.1846,7.4153,7.6094,0.5069
sample_322,7.4514,8.2631,7.651,7.7885,0.423
sample_323,9.1852,9.7742,9.2145,9.3913,0.3319
sample_324,8.5659,8.8536,8.4629,8.6275,0.2025
sample_325,8.0178,8.615,8.0183,8.217,0.3447
sample_326,7.9534,8.5965,8.0658,8.2052,0.3435
sample_327,7.7138,8.4543,7.6925,7.9535,0.4338
sample_328,8.5632,8.6645,8.3035,8.5104,0.1862
sample_329,7.6314,8.0596,7.6532,7.7814,0.2412
sample_330,8.3231,8.6544,8.1557,8.3777,0.2538
sample_331,8.6392,8.6864,8.4285,8.5847,0.1373
sample_332,8.9144,9.3447,8.8983,9.0524,0.2532
sample_333,8.7338,8.8339,8.5411,8.7029,0.1488
sample_334,9.3672,9.8872,9.4108,9.5551,0.2885
sample_335,8.4259,8.8357,8.3442,8.5353,0.2633
sample_336,8.7153,8.9275,8.5515,8.7315,0.1885
sample_337,9.3162,9.9425,9.3126,9.5238,0.3626
sample_338,9.004,9.6128,9.14,9.2523,0.3195
sample_339,7.8436,8.2533,7.7795,7.9588,0.2571
sample_340,8.3712,8.7215,8.2169,8.4365,0.2586
sample_341,7.2695,7.8894,7.3661,7.5083,0.3335
sample_342,7.5337,7.9449,7.4362,7.6383,0.27
sample_343,8.3656,8.6113,8.3841,8.4537,0.1368
sample_344,8.4122,8.7695,8.4299,8.5372,0.2014
sample_345,9.0047,9.3334,9.0801,9.1394,0.1722
sample_346,8.8588,9.3854,8.9257,9.0567,0.2867
sample_347,8.6748,9.3083,8.7705,8.9179,0.3415
sample_348,7.7022,8.3143,7.8128,7.9431,0.3262
sample_349,8.7233,9.1933,8.7832,8.8999,0.2558
sample_350,8.6745,9.1885,8.8421,8.9017,0.2621
sample_351,9.1272,9.7152,9.201,9.3478,0.3203
sample_352,9.1554,9.6562,9.3672,9.3929,0.2514
sample_353,8.2169,8.7024,8.2179,8.3791,0.28
sample_354,7.5915,8.1219,7.6194,7.7776,0.2985
sample_355,9.3326,9.8083,9.4808,9.5406,0.2434
sample_356,8.0936,8.7626,8.1832,8.3465,0.3632
sample_357,8.8227,9.5241,9.0426,9.1298,0.3587
sample_358,8.9345,9.5219,8.9879,9.1481,0.3248
sample_359,8.1322,8.4502,8.0434,8.2086,0.2138
sample_360,8.6282,8.7386,8.4557,8.6075,0.1426
sample_361,8.9374,9.3112,9.0426,9.0971,0.1928
sample_362,8.2158,8.6698,8.2109,8.3655,0.2636
sample_363,8.4635,8.9956,8.4371,8.6321,0.3151
sample_364,8.5237,8.8687,8.3919,8.5948,0.2462
sample_365,8.8284,9.5085,9.0422,9.1264,0.3478
sample_366,7.5977,8.0482,7.4961,7.714,0.2938
sample_367,9.2471,9.7897,9.2278,9.4215,0.319
sample_368,9.4433,9.9162,9.4726,9.6107,0.265
sample_369,8.9631,9.4459,9.1021,9.1704,0.2485
sample_370,9.2808,9.7795,9.2753,9.4452,0.2896
sample_371,8.1517,8.8776,8.1346,8.388,0.4241
sample_372,9.1591,9.6809,9.316,9.3853,0.2677
sample_373,8.8492,9.0851,8.6885,8.8743,0.1995
sample_374,8.5767,9.13,8.7804,8.8291,0.2798
sample_375,7.5371,8.0494,7.5663,7.7176,0.2877
sample_376,8.949,9.4369,9.0132,9.1331,0.2651
sample_377,8.857,9.1833,8.9651,9.0018,0.1662
sample_378,8.0028,8.5322,7.9742,8.1697,0.3143
sample_379,8.3718,8.7017,8.2143,8.4293,0.2488
sample_380,8.1646,8.744,8.3055,8.4047,0.3022
sample_381,7.81,8.4054,7.8647,8.0267,0.3291
sample_382,8.3401,8.682,8.2121,8.4114,0.2429
sample_383,9.0826,9.5687,9.1251,9.2588,0.2692
sample_384,9.139,9.4082,9.006,9.1844,0.2049
sample_385,7.3924,7.8913,7.4729,7.5855,0.2679
sample_386,8.5664,8.6937,8.3523,8.5375,0.1725
sample_387,7.4775,8.0983,7.6304,7.7354,0.3235
sample_388,9.0216,9.5205,9.1279,9.2233,0.2628
sample_389,8.8218,9.0839,8.7551,8.8869,0.1738
sample_390,7.9282,8.341,7.9436,8.0709,0.234
sample_391,7.1067,7.7772,7.092,7.3253,0.3914
sample_392,8.4195,8.94,8.622,8.6605,0.2624
sample_393,7.8768,8.2679,7.9677,8.0375,0.2047
sample_394,8.5506,9.0543,8.6788,8.7613,0.2618
sample_395,8.0819,8.493,7.9633,8.1794,0.278
sample_396,8.1073,8.453,8.1933,8.2512,0.1799
sample_397,7.9721,8.5937,8.1161,8.2273,0.3254
sample_398,8.5927,9.0588,8.7584,8.8033,0.2363
sample_399,9.2975,9.8316,9.439,9.5227,0.2767
sample_400,8.5693,8.7224,8.3562,8.5493,0.184
sample_401,7.8415,8.2633,7.7721,7.959,0.2659
sample_402,9.3549,9.8021,9.3468,9.5013,0.2606
sample_403,8.8326,9.1287,8.7061,8.8891,0.2169
sample_404,8.6966,9.4735,8.8121,8.9941,0.4192
sample_405,8.7235,9.3499,8.8737,8.9824,0.3271
sample_406,8.6929,8.8331,8.5285,8.6849,0.1525
sample_407,8.4805,8.788,8.4441,8.5709,0.1889
sample_408,8.6169,9.3232,8.802,8.914,0.3662
sample_409,8.2806,8.7354,8.2607,8.4255,0.2685
sample_410,7.9619,8.1795,7.8543,7.9986,0.1656
sample_411,8.7679,9.0489,8.7645,8.8604,0.1632
sample_412,9.0762,9.6813,9.3532,9.3702,0.3029
sample_413,8.4671,8.8475,8.5102,8.6083,0.2083
sample_414,8.9133,9.3018,8.9983,9.0711,0.2043
sample_415,9.3831,9.881,9.5182,9.5941,0.2575
sample_416,9.421,9.85,9.4729,9.5813,0.2341
sample_417,9.002,9.4729,9.0215,9.1655,0.2665
sample_418,8.1606,8.6685,8.1781,8.3357,0.2883
sample_419,8.8579,9.5021,9.0758,9.1452,0.3277
sample_420,9.3801,9.7819,9.375,9.5123,0.2335
sample_421,7.9587,8.3609,7.8917,8.0704,0.2538
sample_422,8.0947,8.6416,8.1491,8.2951,0.3013
sample_423,8.4168,8.7554,8.4429,8.5384,0.1884
sample_424,9.2778,9.6798,9.3312,9.4296,0.2183
sample_425,8.8304,9.2943,8.9431,9.0226,0.2419
sample_426,8.0104,8.4533,8.0005,8.1547,0.2587
sample_427,8.2688,8.4073,8.17,8.282,0.1192
sample_428,7.7678,8.2153,7.801,7.928,0.2494
sample_429,9.1488,9.7732,9.2509,9.391,0.3349
sample_430,8.0865,8.6041,8.11,8.2669,0.2923
sample_431,8.4209,8.6798,8.5015,8.534,0.1324
sample_432,8.4691,8.9812,8.437,8.6291,0.3054
sample_433,8.8437,9.5243,9.115,9.161,0.3426
sample_434,9.0842,9.6415,8.9871,9.2376,0.3531
sample_435,9.2953,9.7,9.3149,9.4367,0.2282
sample_436,9.1804,9.5723,9.125,9.2926,0.2438
sample_437,7.8275,8.0804,7.8741,7.9273,0.1346
sample_438,9.1106,9.6927,9.2881,9.3638,0.2983
sample_439,7.6932,8.355,7.8889,7.9791,0.34
sample_440,9.1912,9.7155,9.3292,9.412,0.2718
sample_441,8.6384,9.2969,8.965,8.9668,0.3293
sample_442,7.8475,8.3307,7.6768,7.9517,0.3392
sample_443,9.1132,9.5531,9.2753,9.3138,0.2225
sample_444,7.4059,8.031,7.511,7.6493,0.3347
sample_445,8.2659,8.5736,8.2155,8.3516,0.1938
sample_446,9.0103,9.6349,9.0849,9.2433,0.3411
sample_447,8.9253,9.3848,9.1274,9.1458,0.2303
sample_448,9.258,9.7817,9.3622,9.4673,0.2772
sample_449,9.6605,10.0326,9.5773,9.7568,0.2424
sample_450,8.7479,9.0338,8.6396,8.8071,0.2036
sample_451,8.2735,8.8893,8.1345,8.4324,0.4017
sample_452,8.5459,8.607,8.3406,8.4979,0.1396
sample_453,8.1434,8.6509,8.1436,8.3126,0.2929
sample_454,7.1059,7.849,7.1648,7.3733,0.4131
sample_455,8.3999,8.7628,8.4515,8.5381,0.1963
sample_456,8.9604,9.4978,9.1468,9.2017,0.2729
sample_457,8.6409,8.8183,8.6148,8.6913,0.1107
sample_458,7.4682,8.0771,7.534,7.6931,0.3342
sample_459,7.9152,8.3743,7.9991,8.0962,0.2445
sample_460,8.5931,8.9471,8.5948,8.7117,0.2039
sample_461,7.7847,8.4069,7.8464,8.0127,0.3428
sample_462,9.7556,10.1587,9.7893,9.9012,0.2236
sample_463,7.9584,8.5463,8.0428,8.1825,0.3179
sample_464,8.0945,8.7103,8.3087,8.3712,0.3126
sample_465,8.8546,9.3971,9.0717,9.1078,0.2731
sample_466,8.502,8.8236,8.4555,8.5937,0.2005
sample_467,8.1927,8.6179,8.1322,8.3143,0.2647
sample_468,7.9748,8.5993,7.9182,8.1641,0.3779
sample_469,9.3839,9.837,9.4644,9.5618,0.2417
sample_470,7.9472,8.3906,7.8966,8.0781,0.2718
sample_471,9.049,9.4379,8.9882,9.1584,0.244
sample_472,8.394,8.8515,8.3788,8.5414,0.2687
sample_473,8.8533,9.0695,8.7783,8.9004,0.1512
