sample_id,model_1,model_2,model_3,mean,std
sample_1,8.7823,9.4187,8.8172,9.0061,0.3578
sample_2,7.6896,8.238,7.7694,7.899,0.2963
sample_3,8.2142,8.5654,8.3614,8.3803,0.1764
sample_4,9.0133,9.497,9.0881,9.1995,0.2604
sample_5,8.6515,9.2156,8.7815,8.8829,0.2954
sample_6,8.2604,8.8337,8.4734,8.5225,0.2898
sample_7,8.9292,9.5064,9.114,9.1832,0.2947
sample_8,8.886,9.6474,9.1929,9.2421,0.3831
sample_9,7.2576,8.0793,7.3447,7.5606,0.4513
sample_10,8.4384,8.5718,8.2948,8.435,0.1386
sample_11,8.5022,8.7686,8.4497,8.5735,0.171
sample_12,8.7434,8.7961,8.4573,8.6656,0.1823
sample_13,9.1174,9.6628,9.2914,9.3572,0.2786
sample_14,8.9777,9.5529,9.1523,9.2276,0.2949
sample_15,8.0599,8.4722,8.0691,8.2004,0.2354
sample_16,9.2286,9.7633,9.2657,9.4192,0.2986
sample_17,7.7817,8.2685,7.8228,7.9577,0.2699
sample_18,8.1675,8.5685,8.0942,8.2768,0.2553
sample_19,8.6281,9.0453,8.566,8.7465,0.2607
sample_20,8.5511,9.1032,8.7489,8.8011,0.2797
sample_21,8.9455,9.5946,9.1147,9.2183,0.3367
sample_22,7.913,8.5336,7.9815,8.1427,0.3403
sample_23,9.2638,9.7628,9.3381,9.4549,0.2692
sample_24,8.5484,8.8,8.5154,8.6212,0.1557
sample_25,8.6323,9.3359,8.773,8.9137,0.3723
sample_26,9.4255,9.934,9.368,9.5759,0.3115
sample_27,7.5879,8.0737,7.4251,7.6956,0.3374
sample_28,8.3994,8.7733,8.3092,8.494,0.246
sample_29,9.2857,9.9356,9.2696,9.497,0.38
sample_30,7.6121,8.2258,7.7443,7.8607,0.323
sample_31,8.757,9.2616,8.8396,8.9527,0.2706
sample_32,9.2927,9.7477,9.3356,9.4586,0.2512
sample_33,7.9011,8.4934,8.0041,8.1329,0.3164
sample_34,7.4398,7.982,7.4218,7.6146,0.3183
sample_35,9.4833,9.8907,9.3538,9.5759,0.2801
sample_36,8.2396,8.785,8.2581,8.4275,0.3097
sample_37,9.1152,9.5445,9.3076,9.3224,0.215
sample_38,7.7927,8.2956,7.8503,7.9796,0.2752
sample_39,7.5302,8.0259,7.424,7.6601,0.3213
sample_40,8.18,8.5746,8.1705,8.3084,0.2306
sample_41,8.6312,8.9549,8.5596,8.7152,0.2106
sample_42,8.0306,8.5008,8.0575,8.1963,0.264
sample_43,7.4392,7.7539,7.3981,7.5304,0.1946
sample_44,8.3722,8.834,8.471,8.5591,0.2432
sample_45,9.1857,9.6383,9.1659,9.33,0.2672
sample_46,8.2634,8.6259,8.0675,8.3189,0.2833
sample_47,8.0797,8.5981,8.1375,8.2718,0.2841
sample_48,9.2132,9.6225,9.2934,9.3764,0.2169
sample_49,8.9233,9.3713,8.9752,9.0899,0.2451
sample_50,8.6179,8.8287,8.395,8.6139,0.2169
sample_51,8.7201,9.1182,8.8296,8.8893,0.2056
sample_52,9.5367,9.923,9.5762,9.6787,0.2126
sample_53,9.1181,9.5835,9.2915,9.331,0.2352
sample_54,8.3354,8.5876,8.2281,8.3837,0.1845
sample_55,7.7252,8.3863,7.9244,8.012,0.3392
